Node,Latency (s)
1,0.000114675
10,0.448179529
11,0.454772796
12,0.454802722
13,0.646790788
14,0.645300618
15,0.448158484
16,0.245770442
17,0.449492399
18,0.245793661
19,0.650995268
2,0.456850425
20,0.649358235
3,0.646650897
4,0.449466139
5,0.245804383
6,0.650939291
7,0.454756637
8,0.448149663
9,0.246454233
