Node,Latency (s)
1,0.000120424
10,0.450217055
11,0.652185504
12,0.44851042
13,0.450234464
14,0.450526563
15,0.652616205
16,0.455363687
17,0.246261258
18,0.24614861
19,0.652184588
2,0.647336897
20,0.456105366
3,0.455361546
4,0.448488976
5,0.455369819
6,0.246149029
7,0.450271385
8,0.448468451
9,0.246116423
