node,latency_s
1,0.000162816
10,0.219286047
100,0.137266026
11,0.215327224
12,0.208763644
13,0.203438696
14,0.225612858
15,0.209964811
16,0.215832278
17,0.213324061
18,0.138698286
19,0.139806677
2,0.136694365
20,0.217568333
21,0.20782951
22,0.212103253
23,0.13881358
24,0.139692522
25,0.139136476
26,0.138812241
27,0.215888582
28,0.206633093
29,0.137729937
3,0.213584655
30,0.203836472
31,0.217795446
32,0.137822944
33,0.206200161
34,0.13905225
35,0.216125798
36,0.217821625
37,0.139158524
38,0.138415053
39,0.207176674
4,0.216415592
40,0.206264086
41,0.214876259
42,0.204999721
43,0.216088108
44,0.20827154
45,0.267842955
46,0.138062704
47,0.219367818
48,0.211574568
49,0.203140649
5,0.206282158
50,0.224337888
51,0.138445425
52,0.233364505
53,0.204587243
54,0.138357859
55,0.137958887
56,0.218977944
57,0.137527713
58,0.203719647
59,0.204696287
6,0.203318885
60,0.139397335
61,0.139057832
62,0.207548704
63,0.139594835
64,0.140075298
65,0.139131304
66,0.138829377
67,0.137912977
68,0.218200499
69,0.219474382
7,0.204350177
70,0.206715165
71,0.138908619
72,0.210290233
73,0.213775492
74,0.233423681
75,0.216023346
76,0.209395275
77,0.138728557
78,0.137648656
79,0.208021394
8,0.202998773
80,0.14003849
81,0.214760721
82,0.206651397
83,0.20612475
84,0.204387991
85,0.220316435
86,0.207894197
87,0.221415558
88,0.22372568
89,0.139874209
9,0.211072121
90,0.206494055
91,0.205627378
92,0.20377186
93,0.203247996
94,0.206683472
95,0.138134833
96,0.209929321
97,0.209415667
98,0.139353956
99,0.216448721
