Node,Latency (s)
1,9.4725e-05
10,1.028682712
12,0.44226165
15,1.427261646
16,0.82501451
17,0.43656108
18,1.215223303
19,0.619780004
21,1.646596885
22,1.049268837
23,1.217895763
24,0.851599643
25,0.635507481
26,1.622539487
27,1.423928865
28,1.245434681
29,0.442259045
30,1.226346706
31,0.212163999
32,0.645840385
34,1.050639358
35,0.853863723
36,1.023057742
37,0.21213225
38,1.044304972
39,0.837216445
40,1.416677348
41,0.436566114
42,0.853920904
43,0.837262813
44,1.416554378
45,0.828592765
46,0.6197821
47,0.645812584
48,1.432775306
49,1.631551748
5,0.622799799
50,0.85160076
6,1.057876501
7,1.215131735
