node,latency_s
1,0.000294343
100,0.760751671
12,1.043627627
13,0.14096361
14,1.051698247
15,0.857327611
17,0.612981478
18,0.790950307
19,1.027384983
2,1.240410755
21,1.021089036
24,0.579726812
28,0.836682823
29,1.151971681
30,1.439147927
31,0.387152134
32,0.76865905
33,1.18224319
34,1.05187645
35,0.971886047
37,0.351012761
39,0.592383012
41,0.22892409
42,0.598803183
43,1.250794009
44,0.355026376
45,1.220235978
48,1.165982163
50,0.962019624
51,0.354898537
54,1.624992517
58,1.219964451
59,0.786210667
61,0.649932602
62,1.048139351
63,0.35074418
64,1.251337377
68,0.612940135
69,1.021111465
70,0.769115343
72,1.198846654
73,1.439357814
75,0.836690441
76,0.140904478
8,1.007734886
80,1.198401535
81,1.250794008
82,1.035472149
83,0.95826267
84,0.760738787
85,1.240062228
86,1.007808909
88,0.81019757
9,0.228905964
90,1.162296995
91,1.152171257
92,0.857276972
93,0.387280297
94,1.162084077
95,1.15492991
96,0.961932226
97,1.37490852
