Node,Latency (s)
1,9.5786e-05
10,0.452593489
11,0.649566073
12,0.850783457
13,0.244378676
14,0.654747299
15,0.244364375
16,0.848735937
17,1.049119911
18,0.452530538
19,0.645736739
2,0.4470847
20,0.645760407
3,0.447082615
4,0.452589596
5,0.45164648
6,0.244367257
7,0.451642829
8,0.645258548
9,0.851886225
