name,hosts,bw,delay,loss,success,nodes_delivered,convergence_sec
period_50ms,10,10,20ms,0,0,,
period_200ms,10,10,20ms,0,1,10,0.90914
period_500ms,10,10,20ms,0,0,7,1.618215
TTL1,10,10,20ms,0,0,4,0.715942
TTL2,10,10,20ms,0,0,6,1.115451
TTL4,10,10,20ms,0,0,5,0.915049
TTL8,10,10,20ms,0,0,7,1.317126
