node,latency_s
1,0.000185701
10,0.355352708
100,0.366931797
11,0.21476917
12,0.208877072
13,0.244509489
14,0.226760471
15,0.225581912
16,0.216540831
17,0.146552413
18,0.146786873
19,0.210164799
2,0.353158695
20,0.219416526
21,0.214593819
22,0.146742815
23,0.356554474
24,0.145746402
25,0.146314365
26,0.352053988
27,0.355444902
28,0.209780974
29,0.21456376
3,0.214212766
30,0.210184342
31,0.244857325
32,0.219311795
33,0.356602364
34,0.369194831
35,0.226481451
36,0.145558772
37,0.219670709
38,0.146209444
39,0.35241028
4,0.219359808
40,0.215786612
41,0.225729117
42,0.3525446
43,0.216506814
44,0.353054192
45,0.226969034
46,0.209904252
47,0.368822066
48,0.244613083
49,0.220099818
5,0.365145376
50,0.145604082
51,0.244694801
52,0.214688396
53,0.354720064
54,0.146413286
55,0.243904348
56,0.147000037
57,0.390564842
58,0.356411718
59,0.145554214
6,0.219663738
60,0.209655191
61,0.209904173
62,0.214293339
63,0.145600734
64,0.243806514
65,0.209898169
66,0.369814464
67,0.210745762
68,0.146488134
69,0.226849582
7,0.146659294
70,0.354124612
71,0.359361633
72,0.356446237
73,0.210186212
74,0.366874603
75,0.146144393
76,0.22682324
77,0.244586694
78,0.219989454
79,0.370839271
8,0.365374122
80,0.36663701
81,0.348685143
82,0.219990961
83,0.225872447
84,0.210262375
85,0.219999263
86,0.226271074
87,0.349899068
88,0.371656017
89,0.348578361
9,0.349157236
90,0.146178079
91,0.214397181
92,0.352938607
93,0.35456859
94,0.207686239
95,0.219252944
96,0.207703663
97,0.365223617
98,0.369390554
99,0.350137492
