name,hosts,bw,delay,loss,success,nodes_delivered,convergence_sec
N3_f2,3,10,20ms,0,1,3,0.322557
N5_f2,5,10,20ms,0,0,,
N10_f2,10,10,20ms,0,1,10,0.924697
N20_f2,20,10,20ms,0,0,16,1.121504
N20_f1,20,10,20ms,0,0,6,1.119365
N20_f2,20,10,20ms,0,0,12,1.327414
N20_f4,20,10,20ms,0,1,20,0.717458
