name,hosts,bw,delay,loss,success,nodes_delivered,convergence_sec
n5,5,10,10ms,0,1,5,0.457614545
n10,10,10,10ms,0,1,10,0.657266444
n20,20,10,10ms,0,1,20,0.847904148
n30,30,10,10ms,0,1,28,1.25310881
n40,40,10,10ms,0,1,38,1.041147074
n50,50,10,10ms,0,1,47,1.22634532
n100,100,10,10ms,0,1,98,0.990911819
n200,200,10,10ms,0,1,190,1.261236673
