node,latency_s
1,7.8382e-05
10,0.547189404
100,0.795920286
11,0.602447484
12,0.446427829
13,0.590977825
14,0.747954442
15,0.215442086
16,0.962430533
17,0.386659881
18,0.850576774
19,0.990911819
2,0.365205228
20,0.386687002
21,0.387630814
22,0.460013454
23,0.781853952
24,0.748678326
25,0.814999446
26,0.213610766
27,0.810554703
29,0.584144751
3,0.555340734
30,0.747952969
31,0.806299138
32,0.14375331
33,0.952028285
34,0.795923062
35,0.460009198
36,0.386717366
37,0.619425057
38,0.551593233
39,0.560865165
4,0.648688744
40,0.842070694
41,0.648688958
42,0.544389871
43,0.37120034
44,0.215235509
45,0.215319185
46,0.747928957
47,0.353882477
48,0.854820872
49,0.778886794
5,0.966042368
50,0.365188765
51,0.591001533
52,0.555351689
53,0.583985989
54,0.575631444
56,0.641878532
57,0.353925774
58,0.973507139
59,0.38764368
6,0.630807912
60,0.590984133
61,0.969286264
62,0.575965017
63,0.748570134
64,0.64156123
65,0.14367983
66,0.143774141
67,0.636768571
68,0.619529259
69,0.428189527
7,0.460017746
70,0.815097645
71,0.744252721
72,0.628631604
73,0.860202558
74,0.810676413
75,0.353882399
76,0.547256109
77,0.965968948
78,0.55957447
79,0.557991803
8,0.54445045
80,0.584098238
81,0.438564876
82,0.371192642
83,0.60394882
84,0.575584867
85,0.555307816
86,0.641798142
87,0.438558931
88,0.213613821
89,0.852202371
9,0.551596236
90,0.54710058
91,0.745164717
92,0.767405396
93,0.990576427
94,0.594864554
95,0.604082377
96,0.778841437
97,0.636987079
98,0.428189371
99,0.213610524
