node,latency_s
1,0.000122922
10,0.170434105
100,0.797852501
101,0.839844159
102,0.644028094
103,0.718617946
104,0.718611437
105,0.91734584
106,1.155602863
108,0.802341892
109,0.940579609
11,0.584494905
110,0.978928171
111,0.813217841
112,0.817198728
113,0.612564754
114,0.732137593
115,0.814954322
116,0.798838313
117,0.916312142
118,0.854610467
119,0.815133394
12,0.905107996
120,0.919424035
122,0.617173109
123,0.783499908
124,0.169680475
125,0.988346611
126,0.820607324
127,0.767521585
128,0.783759022
129,0.987174322
13,0.59685398
130,0.799189112
131,0.877745015
132,0.616746663
133,0.969751189
134,0.336912682
135,0.649968954
136,0.790546157
137,0.988140594
138,0.767656194
139,1.037232098
14,0.813209369
140,0.374799962
141,0.896712498
142,0.607167107
143,0.876262102
144,0.61655411
145,1.094317599
146,0.637072588
147,0.57250724
148,0.76413609
15,0.817380592
150,0.446758019
151,0.843259232
152,1.032143773
153,0.578064157
154,0.578098269
155,0.440543698
156,1.048057444
157,0.833064861
158,0.596539758
159,0.883405387
16,0.791624226
160,0.552543487
161,1.003357221
162,0.941183072
163,0.572543058
164,1.055656849
165,0.901960945
166,1.047794314
167,0.96791811
168,0.429308161
17,0.813269718
170,0.777473545
171,0.94690194
172,0.649866731
173,0.969356714
174,0.374787043
175,0.644124461
176,0.877595186
177,0.75282131
178,0.853744455
179,0.832992693
18,0.607754835
180,0.561219111
181,1.261236673
182,0.169600223
183,0.637019328
184,0.786829463
185,0.612732294
186,0.446465162
187,0.732258452
188,1.027396858
189,0.60779545
19,0.644049348
190,0.747525821
191,0.446629888
192,0.998000847
193,0.33688612
194,0.96324885
195,0.988637694
196,0.979829045
197,0.920873422
198,0.732565879
199,0.791892872
2,0.673179098
20,0.77743261
200,0.789423333
21,0.552635404
22,0.916257149
23,0.911604951
24,0.607127767
25,0.95772242
26,0.771293412
27,0.856513042
28,0.980397154
29,0.440490445
3,1.052030313
30,0.790499298
31,0.626495294
32,0.839007862
33,0.608152881
34,0.83029531
35,1.00079214
36,0.789068294
37,0.440389025
39,1.245983709
4,0.767521599
40,0.888244289
41,0.429627986
43,0.561177861
44,0.693232223
45,0.374590083
46,0.856616725
47,0.61614911
48,0.820982334
5,0.772013493
50,0.617171727
51,0.990492829
52,0.833116042
53,1.057621545
54,0.841963099
55,0.855864988
56,0.752775442
57,0.783761146
58,0.770906595
59,0.336893382
6,0.69313722
60,0.777524946
61,0.782296097
62,0.917648795
63,0.904539367
64,0.820458998
65,0.552562719
66,0.836062659
67,0.596581804
68,0.837496792
69,0.905527381
7,0.88806549
70,0.853315628
71,0.747555825
73,1.042805491
74,0.967927933
75,0.903518296
76,0.816566447
77,0.853275657
78,0.649906537
79,0.928492552
8,0.429706352
80,0.783659645
81,0.561262963
82,1.198914975
83,0.693289841
84,0.763949302
87,1.018910498
88,0.767443767
89,0.775175546
9,0.840051682
90,0.978233968
91,0.771238819
92,0.782799085
93,0.975509603
94,0.607050639
95,0.830149172
96,0.978053344
97,0.87205647
98,0.63671989
99,0.767326308
